pid,label_en,label_zh,_date,object_origin,object_type_en,object_type_zh,_source,cultural_context,_collection,current_location_city,collection_num,DPM_1925_inventory_num,1925_inventory_loc,en_measurements,zh_measurements,_rights,NPMT_1983_poem_listing,image_links,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,text_title_zh,text_title_en,inscription_position,inscription_author,inscription_text_zh,inscription_text_en,Pub_Text_Chinese_Complete,西域圖志,pub_text_source,pub_text_volume,pub_text_chapter,pub_text_page,sexagenary_year,reign_year,notes_detail,text_ref,museum_catalogue,_manifest,_tags
Jade010,Large grayish-blue green jade lotus-flower plate (1983) Floral-shaped jade dish (webcat),"花式盤 (2007, webcat)",1768,Mughal,plate,盤,,Mughal,NPMT,,古玉2471,天416,乾清宮 QQG,"Rim diameter 25cm, base diameter 14.8cm, height 4.7cm",,,10,"https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04018769 
https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04013921 https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04013924 ",Taipei 1983 pp 182-183 pl29,Taipei 2007 pp80/248 pl075,Taipei 2013 p083 I-2.17,"《故宮文物月刊》410期        《故宮文物月刊》編輯部        國立故宮博物院        2017/05
",《故宮文物月刊》188期(赴法展)        器物處        臺北巿：國立故宮博物院        1998/11,Taipei 2015 p32 pl004,天竺五印度考訊  ,An Examination into Mistakes Concerning India,Interior,,"佛經此欲界內以須彌山為中,須彌山四面有四大部洲,居南面者為閻浮提,即華言南瞻部洲者是。此閻浮提內有三大國,各所屬及弗相屬之,小國弗與焉,而閻浮提又以崑崙為中,居崑崙之東,及東南東北者,即我中國為一大國。居崑崙之南及西南者,為天竺一大國,居崑崙之西北及北者,為洪豁爾一大國。而天竺一國分為東西南北中五印度,即梵經所稱印達爾,印達爾者,華言自在境界之謂也。五印度皆厄訥特珂克之地,唐史宋史訛印度為身毒,或稱身篤,而所載事蹟及入朝中國,大率不實,亦不得要領。何言之?自古中華聲教所訖,莫過於本朝,而本朝百餘年中,從未有天竺遣使進貢之事,雖於乾隆庚辰年間,烏特噶里畢拉奇碩拉汗,會遣婆羅門進表奉貢,亦其東印度近我西藏之一小國耳,非中天竺也。若夫北印度,實近我回部之葉爾羌,故葉爾羌之西,過葱嶺,即拔達克山,由拔達克山轉而南為克什米爾,又轉而西為溫都斯坦;又轉而南方為厄訥特珂克,其方向如此,其道里亦莫得而詳焉。溫都斯坦雖回地也,而回人相傳彼地有佛遺蹟,益知即北印度交界,或者昔為天竺屬而後為回部屬,皆不可知。溫都斯坦,今唐古忒及回語,皆稱為痕都斯坦,盖亦譯者訛痕為溫,而二語皆與印度音聲相近。所謂天竺北印度近回部,此亦一騐也。要知痕與溫、與印、與身,及度與毒、與篤、與都,皆非天竺本語,而又何必較是非於一字一句之間哉。宋史載:天竺僧施護,行程有至誐惹曩國之語,誐惹曩音聲亦與厄訥特珂克相近而通。考所謂度雪山過伽濕彌勒國者,雪山即今葱嶺,而伽濕彌勒亦即克什米爾之誤耳。若夫元史稱元太祖見角端於印度,疑亦即今痕都斯坦之北印度,與回部交界者耳,非中印度也。東印度旣近西藏,故天竺之事,西藏時聞之,據西藏僧謂:天竺雖佛現身說法之地,然今天竺實不興佛法,而興異教。此亦與梵帙,佛受記五百年後,佛法漸微,而漸流行東至震旦迺復興之語相符合。夫以今中國之力,若唐宋之假道葱嶺、克什米爾以達天竺、中印度亦何難,但旣非德致,更以計求,雖徠遠域,何關實政,故不為也。近得蒙古源流,謂元太祖進兵至厄訥特珂克,遇一角獸狀若跪叩者三,元太祖曰:是殆上天示予自此往斡齊爾圖瑣林,道遠難極,遂振旅云云益可為未至中印度之證。而獸為人言,更可信元史之謬為附會,因考天竺五印度,故並闢其蹖譌如右。",Mosca articles for complete; determine which 810 characters are here,"佛經此欲界內以須彌山為中,須彌山四面有四大部洲,居南面者為閻浮提,即華言南瞻部洲者是。 此閻浮提內有三大國,各所屬及弗相屬之,小國弗與焉,而閻浮提又以崑崙為中,居崑崙之東,及東南東北者,即我中國為一大國。居崑崙之南及西南者,為天竺一大國(即今西藏所稱厄訥特珂克也),居崑崙之西北及北者,為洪豁爾一大國。而天竺一國分為東西南北中五印度,即梵經所稱印達爾,印達爾者,華言自在境界之謂也。五印度皆厄訥特珂克之地,唐史宋史訛印度為身毒,或稱身篤,而所載事蹟及入朝中國,大率不實,亦不得要領。何言之?自古中華聲教所訖,莫過_本朝,而本朝百餘年中,從未有天竺遣使進貢之事,雖於乾隆庚辰年間,烏特噶里畢拉奇碩拉汗,曾遣婆羅門進表奉貢,亦其東印度近我西藏之一小國耳,非中天竺也。若夫北印度,實近我回部之葉爾羌,故葉爾羌之西,過葱嶺,即拔達克山,由拔達克山轉而南為克什米爾,又轉而西為溫都斯坦;又轉而南方為厄訥特珂克,其方向如此,其道里亦莫得而詳焉。溫都斯坦雖回地也,而回人相傳彼地有佛遺蹟,益知即北印度交界,或者昔為天竺屬而後為回部屬,皆不可知。溫都斯坦,今唐古忒及回語,皆稱為痕都斯坦,盖亦譯者訛痕為溫,而二語皆與印度音聲相近。所謂天竺北印度近回部,此亦一騐也。要知痕與溫、與印、與身,及度與毒、與篤、與都,皆非天竺本語,而又何必較是非於一字一句之間哉。宋史載:天竺僧施護,行程有至誐惹曩國之語,誐惹曩音聲亦與厄訥特珂克相近而通。考所謂度雪山過伽濕彌勒國者,雪山即今葱嶺,而伽濕彌勒亦即克什米爾之誤耳。若夫元史稱元太祖見角端於印度,疑亦即今痕都斯坦之北印度,與回部交界者耳,非中印度也。東印度旣近西藏,故天竺之事,西藏時聞之,據西藏僧謂:天竺雖佛現身說法之地,然今天竺實不興佛法,而興異教。此亦與梵帙,佛受記五百年後,佛法漸微,而漸流行東至震旦迺復興之語相符合。夫以今中國之力,若唐宋之假道葱嶺、克什米爾以達天竺、中印度亦何難,但旣非德致,更以計求,雖徠遠域,何關實政,故不為也。近得蒙古源流,謂元太祖進兵至厄訥特珂克,遇一角獸狀若跪叩者三,元太祖曰:是殆上天示予自此往斡齊爾圖瑣林,道遠難極,遂振旅云云(斡齊爾圖瑣林者蒙古語謂金剛狀也,即佛現身說法之中印度)益可為未至中印度之證。而獸為人言,更可信元史之謬為附會,因考天竺五印度,故並闢其蹖譌如右。 ",N/A,御製文,二集,卷21,頁25,戊子,(乾隆三十三年1768年),"並節錄琢於本院藏蓮瓣式大玉盤上。品號天四一六。圖版貳玖揷圖32。乾隆三十三年以後,清高宗經常用「 痕都斯坦」一名,泛稱貢自回部各地的玉器。 ""The pair of large jade plates in (Jade 010a and Jade 010b) were sent as tribute to the Qing court in 1768 and were the first jade vessels that the Qianlong emperor recognized as coming from northern India. He composed the Tianzhu wu yindu kao'e  about them, an 810-character excerpt of which was transcribed onto this plate."" (Taipei 2007 p248 pl075)",https://ctext.org/library.pl?if=gb&file=50460&page=6,https://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=52891,,
Jade011,Large ash-green jade plate in the shape of a lotus blossom (webcat),"花式盤 (2007, webcat)",1768,Mughal,plate,盤,,Mughal,NPMT,,古玉2472,天416,乾清宮 QQG,"Rim Diameter: 25.7cm, Base Diameter: 16cm (webcat 14.8), Height: 4cm (webcat 4.7cm)",,,11,https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04018771 https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04013928 https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04013926 ,"Taipei 1983 pp184-185, pl30",Taipei 2002 p153 cat. IV-22,"Taipei 2007 pp81/248, pl076",Taipei 2013 p83 cat. I-2.17,"Weng, Yu-wen. “來自天方的仙工－簡介「南亞美玉特展」.” 故宮文物月刊 The National Palace Museum Monthly of Chinese Art 410 (May 2017): 16–29.
",Taipei 2015 p32 pl005,題痕都斯坦雙玉盤得十韻,On a Pair of Hindustan Jade Plates,Center,,"葱嶺接崑崙,痕都天竺藩,瓊枝產寶夥,水磨省工煩,泰冒徒聞浴,和闐此溯源,匪求來不拒,弗韞賈堪言,盈尺區寧論,成雙珏寔存,中規仍瓣瓣,合度更渾渾,帶蒂芳葩簇, 通身翠葉翻,荒唐說泝水, 約畧比嬰垣,謾詡連城貴,端知五德尊,孫卿有佳喻,恭已愼臨軒。 ",,"葱嶺接崑崙,痕都天竺藩(向稱溫都斯坦乃痕都斯坦之誤,今考梵文改正。以新疆道里方向證之, 其地當由回部過葱嶺,至拔達克山西南,即其地盖北印度交界說,詳考訛篇中,)瓊枝產寶夥,水磨省工煩(聞彼處治玉以水磨,不以沙石錯),泰冒徒聞浴,和闐此溯源,匪求來不拒,弗韞賈堪言,盈尺區寧論(去聲),成雙珏寔存,中規仍瓣瓣,合度更渾渾,帶蒂芳葩簇, 通身翠葉翻,荒唐說泝水(卞和之事向曾有詩辨其誣), 約畧比嬰垣,謾詡連城貴,端知五德尊,孫卿有佳喻,恭已愼臨軒。 ","葱嶺接崑崙,痕都天竺藩坦向之稱误溫今都考斯梵坦文乃改痕正都以斯坦(新克疆山道西里南方即向其證地之盖其北地印党度由回部过祥葱考岭至篇拔中達)瑷杖产宝夥水磨省工烦(*磨*聞不彼以處*沙*治右玉*错*)泰冒徒聞浴,和闐此溯源,匪求來不拒,弗韞賈堪言,盈尺區寧論(聲去),成雙珏寔存,中規仍瓣瓣,合度更渾渾,帶蒂芳葩簇, 通身翠葉翻,荒唐說泝水(有*卞*和*时*之*辩*事*其*向*誣*曾), 約畧比嬰垣,謾詡連城貴,端知五德尊,孫卿有佳喻,恭已愼臨軒。 ",御製詩,三集,卷69,頁2,戊子,(乾隆三十三年1768年),"此詩加琢於此雙玉盤之一, 藏於本院,品號天四一六,圖版参零,插圖31。 ""The pair of large jade plates in (Jade 010a and Jade 010b) were sent as tribute to the Qing court in 1768 and were the first jade vessels that the Qianlong emperor recognized as coming from northern India. The emperor wrote a poem about these plates, which he had inscribed onto this one."" (Taipei 2007 p248 pl076)",https://ctext.org/library.pl?if=gb&file=68095&page=5,http://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=52892,,
Jade012a,"Bluish-green jade pen-case with ink container (Taipei 1983), Jade ink vessel and brush holder (2002, webcat), Ink bottle and brush case (2007)",,1768,Mughal,bottle and pencase,墨瓶 and 筆室,,Mughal,NPMT,,古玉3231,天331,乾清宮 QQG,"Container height 8.2cm, container diameter 5.7cm, pen-case length 21.7cm (webcat: 全高8公分 玉筆架長21.5公分 玉筆管口徑1.8公分 口徑3公分 足徑3.7公分)",,,12,"https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04018747 
https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04018767 
https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04018749",Taipei 1983 p248-248 pl63,Taipei 2002 p96 cat.II-18,Taipei 2007 p115/257 pl136,"Weng, Yu-wen. “來自天方的仙工－簡介「南亞美玉特展」.” 故宮文物月刊 The National Palace Museum Monthly of Chinese Art 410 (May 2017): 16–29.",Taipei 2015 p33 cat006,,詠痕都斯坦玉墨瓶筆室,In Praise of a Hindustan Jade Ink Bottle and Pen/Brush Case,"Ink bottle exterior (QL), Lid of wooden box (QL), ministers' response poems on box lid sides **NOTHING INCISED ON PEN CASE***",,"QL text on both ink bottle and wooden Box lid: 削木中書擬管城,橫行却向左而行,宛看琢玉成筆室,更介為缾貯墨卿,點染謄章工述事,取携湊便恰怡情,非珍新樣兼精玖,用識同文異獻荊。 (QL) NEED SEVEN MINISTERS' TEXTS ON BOX LID

Shen Chu: 藝苑琳應出禁城使來壓韋這持行房兼四寶殊蘇諧稟順震潘髓漢卿舍潤德全珍地產揮亳因遁醴皇帝嚴從明域凝師古量藩凝壺筆削荊 [臣沈初恭和]","""While in China fur is taken for writing-brushes, in foreign lands wood is whittled for writing purposes."" (Taipei 1983 p248 translation of poem note 中土聚毫為筆,外城削木供書, not part of poem text)","(序)製出回中,珍儲席上。抽璚筦則擬毛錐,戢戢珥時,可比昭華,貯隃糜則見墨海, 潭潭蘸處,奚誇銀甕。琢成附體文房,信具二難,收便聯函璧府,疑兼雙珏,蓋彼貴人所用,供奉謄章。其來萬里而遙,微慙玩物爲憶,旁行左向,緘秘笈者,曾供削牘之書,更同四角,中央詠瓣香焉,試續銘盤之句。

削木中書擬管城(中土聚毫為筆,外城削木供書,猶存古製也),橫行却向左而行(梵書向右行,外域書多同,惟回書雖旁行而向左,與漢書同),宛看琢玉成筆室,更介為缾貯墨卿,點染謄章工述事,取携湊便恰怡情,非珍新樣兼精玖,用識同文異獻荊。 

Shen Chu: 御製詠痕都斯坦玉墨瓶筆室元韻 藝苑琳應出禁城使來壓韋這持行房兼四寶殊蘇諧稟順震潘髓漢卿舍潤德全珍地產揮亳因遁醴皇帝嚴從明域凝師古量藩凝壺筆削荊 (Check printed note text for accuracy of CText note text 筆之雕酬蹴關一萬讓)","(序)製出回中,珍儲席上。抽璚筦則擬毛錐,戢戢珥時,可比昭華,貯隃糜則見墨海, 潭潭蘸處,奚誇銀甕。琢成附體文房,信具二難,收便聯函璧府,疑兼雙珏,蓋彼貴人所用,供奉謄章。其來萬里而遙,微慙玩物爲憶,旁行左向,緘秘笈者,曾供削牘之書,更同四角,中央詠瓣香焉,試續銘盤之句。

削木中書擬管城(中本土供聚書毫猶為蒍存筆古,外製城也削),橫行却向左而行(梵書書雖向旁右行,行而外同域左書與多漢同書,惟同向),宛看琢玉成筆室,更介為缾貯墨卿,點染謄章供述事,取携湊便恰怡情,非珍新樣兼精玖,用識同文異獻荊。 ",御製詩,三集,卷72,頁2,戊子,(乾隆三十三年1768年),"此詩加琢於該器器表,並於宮中配製木匣,匣上刻字泥金高宗與朝臣們應和之詩。藏於本院,品號天三三一,圖版陸参,插圖33。 Taipei 1983 p248: ""The NPM collection also includes six wooden writing-pens and a silver pen-case sent to the Qing court in tribute by the Moslems of Central Asia. The wood pens were sharpened at one end and had a carved line to serve as an ink reservoir."" (photo included)",https://ctext.org/library.pl?if=gb&file=68096&page=71,http://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=53654,,
Jade012b,Inkwell and pen-case with acanthus leaves,青玉墨瓶筆室,1768,India,Inkpot and pen-case,墨瓶筆室,,"Mughal, 17th-18th century",DPM,,故094518,水197.7,太極殿 TJD,"Ink bottle-rim diameter: 2.7cm, Pen holder rim: 1.9cm, Pen holder height: 8.5cm, Pen container length: 22cm","墨瓶口徑2.7 
筆室口徑1.9
高8.5、
長22厘米",,12,,HK 2015 pp 160-163 (large images),,,,,,"YZSQJ: “詠痕都斯坦玉墨瓶筆室”； HYXYTZ ""御製詠痕都斯坦玉墨瓶筆室（有序，戍子）”",On a Hindustan Jade Inkpot and Pen-Case,Zitan wood box top,,"削木中書擬管城，横向卻向左而行。
宛看琢玉成筆室，更介為瓶貯墨卿。
點染謄章工述事，取攜臻便恰恰情。
非珍新樣兼精玖，用識同文異獻荊。","HK 2015 p160: ""The wood is cut to imitate the brush, and the writing goes in a line but from right to left. I seem to see how the jade is carved into a brush container and then worked into an ink holder. So I took out my own brush to record the event and write down these sketchy lines just for fun. Not that I am only interested in the piece's novel style and fine quality; nor its great value, but I am trying to understand the writing styles of ancient people. Imperially inscribed in late February (lunar calendar) of the wuzi year of Qianlong [1768].""",削木中書擬管城（中土聚毫為筆外域削木供書猶存古製也），横行却向左而行（梵書向右行外域書多同惟回書雖旁行而向左與漢書同）。宛看琢玉成筆室，更介為缾貯墨卿。㸃染謄章工述事，取携湊便恰怡情。非珍新様𠔥精玖，用識同文異獻荆。,"削木中書擬管城（中木土供聚猶毫為存筆古外也域削),横行却向左而行（梵書書雖旁右行外向域左書與多漢同書惟回向。宛看琢玉成筆室，更介為缾貯墨卿。㸃染謄章工供述事，取携湊便恰怡情。非珍新様𠔥精玖，用識同文異獻荆。",《御製詩集• 三集》卷七十二，頁二，“詠痕都斯坦玉墨瓶筆室”,三集,卷72,頁2,戊予,乾隆戊子,"HK2015 p160 lists one extant piece at NPMT (probably Jade012a), two in Beijing, and similar examples at V&A in London. Searrched online catalogue 6/16/20 without success; check Ming Wilson 1760 article. Date of later HJD entry is fifteen years after the first, suggesting this set arrived then or was only commemorated then? Only the emperor's poem is on the box (top); remaining four sides carved with 博古 or 古玩 in raised relief . Visible on HK 2015 p161 on one long side of the box are an antique (bronze?) incense burner/censer, gnarled-surface brush pot containing ruyi and scroll or fan, high-shouldered jar containing peonies, scholar's rock, small casket, and other antiques, thereby placing this inkpot and pencase among Chinese antiques with a scholarly bent.",https://ctext.org/library.pl?if=gb&file=68096&page=72#削木中,,,
Jade013,Long-spouted jug with single handle and acanthus leaves,青玉長流執壺 or 莨苕葉紋長流執壺(HK2015 p142/201),1769,"India (KK: possibly Ottoman?), although HK 2015 p142 does say that ""the ""long and straight spout [was] apparently influenced by Central Asian jades, and was probably made in north India.""",jug,壶 ,,Mughal (KK: possibly Ottoman?),DPM,,故102354,雨7.23,重華宮 CHG,"height: 10.1cm, length: 20.3cm, rim diameter: 7.1cm, base diameter: 6.6cm","高10.1、
長20.3、
口徑 7.1、
底徑6.6厘米",,13,,HK 2015 pp142-143 pl16; lid interior only p201 ,,,,,,詠痕都斯坦玉壶 ,On a Hindustan Jade Jug,Lid interior,,"繽纷華葉翻，水磨製婴垣。
细入毛髮理，渾無斧鑿痕。 
冰心欣可在，仁色表斯溫。
典雅司空品，買春且漫論。（蓋內）","HK 2015 p142: ""Colorful flowers and curly leaves, [embellish] the water-grained finde jade. [The incised lines are] as fine as the hair, and leave no trace of the carving. The jug is bright and crystal clear like the ice, and the texture is soft and smooth. Using a jade jug like this to carry wine for a spring outing, best fits into the 'elegant' style that Sikong Tu has described. Imperially inscribed in the yichou year of Qianlong.""",繽紛花葉翻，水磨製嬰垣。細入毛髪理，渾無斧鑿痕。冰心欣可在，仁色表斯温。典雅司空品，買春且漫論。,繽紛花水葉翻，水磨製嬰垣。細入豪髪理，渾無斧鑿痕。冰心欣可在，仁色表斯温。典雅司空品，買春且漫論。,御製詩,三集,卷77,頁2,己丑,(乾隆三十四年1769年) ,"HK 2015 p142: ""It is one of the earliest Mughal jades to have entered the Qing Palace and receive an inscription. However, neither the raw material nor the carving is among the best. Thus, according to our present-day standards, 'as fine as hair, and leaves no trace of the carving' is an overstatement, but it nonetheless tells us what kind of decorative styles and crafts the Qianlong emperor admired at this time. Floral and foliage decorations, water-grained techniques, and the extremely smooth and thin surface are the initial and essential characteristics of the 'Hindustan jades' that impressed the Qianlong emperor...""",https://ctext.org/library.pl?if=gb&file=68099&page=5,,,
Jade014,,,1769,,dagger,匕,,,,,,,,,,,14,,,,,,,,博洛爾部沙瑚沙默特伯克進玉欛雙匕首詩以誌事,,,,"戢干西極各安居,表進傳盧弗改初,雙器先之宜酌納,五年貢亦不為疎,球琳欛內鐵銜定,氆氇室端銀鏤諸,以短乘長休論彼,薄來厚往益懷予。 ",,"戢干西極各安居,表進佉盧弗改初,雙器先之宜酌納,五年貢亦不為疎(是部隔和闐又二千餘里,癸未年曾遣使進武器,亦有詩),球琳欛內鐵銜定,氆氇室端銀鏤諸,以短乘長休論彼,薄來厚往益懷予。 ",,御製詩,三集,卷77,頁6,己丑,(乾隆三十四年1769年) ,,https://ctext.org/library.pl?if=gb&file=68099&page=15,,,
Jade015,"Large bluish-green jade lotus flower plate (1983) Floral plate (2007, webcat)","青綠玉蓮瓣大盤 (1983) 花式盤 (2007, webcat)",1769,Mughal,plate,盤,,Mughal,NPMT,,古玉3238,天325,乾清宮 QQG,"Rim diameter 32.2cm, base diameter 24.7cm, height 3.5cm",,,15,"https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04029115&Key=%E8%8A%B1%E5%BC%8F%E7%8E%89%E7%9B%A4&pageNo=1 
https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04029114&Key=%E8%8A%B1%E5%BC%8F%E7%8E%89%E7%9B%A4&pageNo=1 
https://theme.npm.edu.tw/opendata/DigitImageSets.aspx?sNo=04029113&Key=%E8%8A%B1%E5%BC%8F%E7%8E%89%E7%9B%A4&pageNo=1 
",Taipei 1983 pp186-187 pl31,Taipei 2002 p98 catII-20,Taipei 2007 p83/248 pl079,SFAAM 2016 p217 cat. 153,,,詠痕都斯坦滿尺玉盤,,Qianlong poem Interior; officials' poems exterior,,"QL: 考工未藉玉人爲,萬里從風貢自馳,巧匠由來琢喀嗎,金神曾是守熏池,規圓外復出瓜瓣,尺滿中仍結菃蕤,不寶華囂寳獻善,王孫圉語厪吾思。 Officials: NEED their poems - not included in any published sources. Officials with listed poems: 劉統勳、劉綸、于敏中、董邦達、王際華、錢維城、曹文埴、彭元瑞、沈初、董誥等人",,"Imperial poem: 考工未藉玉人爲,萬里從風貢自馳(守伊犁將軍伊勒圖所進),巧匠由來琢喀嗎(回之古巧匠名),金神曾是守熏池,規圓外復出瓜瓣,尺滿中仍結菃蕤,不寶華囂寶獻善,王孫圉語厪吾思。 
Need officials' poems",,御製詩,三集,卷78,頁25,己丑,(乾隆二十四年1769年),"此詩加琢於該玉盤上,藏於本院,品號天三二五,圖版参壹,插圖34。 ""This large plate came into the Qing court in 1769, sent as tribute by a general stationed in Ili. The Qianlong emperor composed a poem for this piece, which was then inscribed onto the plate. The outside of the lotus petalsare inscribed with lines of verse of many high ministers, such as Dong Bangda 董邦達. The Qing court had a brocaded box made for this jade, on which was written 《痕度斯坦玉盤一件甲》."" (Taipei 2007) Webcat: ""青綠玉，琢作一盛開的二十瓣蓮花形大盤，盤心雕一平展的小花，底光平。全器厚大結實，是雜揉了厚實質感與細緻作工於一體的蒙兀兒帝國玉器作品。 盤心為乾隆三十四年（1769）御製詩〈詠痕都斯坦滿尺玉盤〉：「考工未藉玉人為，萬里從風貢自馳。巧匠由來琢喀馬，金神曾是守重池。規圓外復出瓜瓣，尺滿中仍結菃蕤。不寶華囂寶獻善，王孫圉語廑吾恩。」及「己丑新正月御題」下接「乾」「隆」二印文。詩錄於《御製詩二集》卷65頁18。盤外壁為劉統勳、劉綸、于敏中、董邦達、王際華、錢維城、曹文埴、彭元瑞、沈初、董誥等人的唱和之作，展現乾隆皇帝與詞臣文會的景象。 附錦袱、裱錦木匣。匣上有「痕都斯坦玉盤一件甲」題簽及「如字第三十□号」殘黃簽。 清宮舊藏，原儲於紫禁城乾清宮。""",https://ctext.org/library.pl?if=gb&file=68099&page=119#,,,
Jade016a,"Flower-shaped gray jade bowl (1983); Flower-shaped bowl, bluish-grey jade (2007/2015); ",青灰花式碗 (1983); 花式碗 (2007),1769,Mughal,bowl,椀 ,,Mughal,NPMT,,古玉3220,天419,乾清宮 QQG,diameter 15.1cm; diameter at base 6.5cm; height 5.4cm,,,16,,Taipei 1983 pp128-129 pl2,Taipei 2007 p58/242 cat046,Taipei 2015 p43 cat008,,,,詠痕都斯坦玉椀 ,,"Inner wall; base incised with 乾隆御詠 ""Recited/Composed by the Qianlong emperor"" in seal script",,"良璆出大蒙,山石那須攻,省力資水磨,精鐫本鬼工。式成瓜列瓣,氣吐草垂虹,曾未三朡伐,貢原西旅同。 ",,"良璆出大蒙,山石那須攻,省力資水磨,精鐫本鬼工。式成瓜列瓣,氣吐草垂虹,曾未三朡伐(平定回部師未至痕都斯坦),貢原西旅同。 ",,御製詩,三集,卷79,頁17,己丑,(乾隆三十四年1769年),"此詩加琢於兩件玉碗,均收藏於本院,品號天四一九,天四二五,圖版貳、伍,插圖36,35。 Taipei 2007 p. 242: ""Entered Qing court in 1769...complete with brocade casket and cover."" Note intriguing homophone of 乾隆御詠 with 乾隆御用, which also corresponds with placement. Same poem as Jade016a incised on interior walls",https://ctext.org/library.pl?if=gb&file=68100&page=37,http://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=53643,,
Jade016b,Bluish-white jade bowl with two handles (1983); Flower-shaped bowl with two bud-shaped handles (2015),花口花蕾形雙柄碗 (2015),1769,Mughal,bowl with handles,椀 ,,Mughal,NPMT,,古玉2470,天425,乾清宮 QQG,Length 21.2cm; width 14cm; height 7.1cm,,,16,,Taipei 1983 pp134-135 pl5,Taipei 2007 p74/246 cat066,Taipei 2015 p43 cat009,,,,詠痕都斯坦玉椀 ,,Inner wall,,"良璆出大蒙,山石那須攻,省力資水磨,精鐫本鬼工。式成瓜列瓣,氣吐草垂虹,曾未三朡伐,貢原西旅同。 ",,"良璆出大蒙,山石那須攻,省力資水磨,精鐫本鬼工。式成瓜列瓣,氣吐草垂虹,曾未三朡伐(平定回部師未至痕都斯坦),貢原西旅同。 ",,御製詩,三集,卷79,頁17,己丑,(乾隆三十四年1769年),Same poem as Jade016 incised on interior walls,https://ctext.org/library.pl?if=gb&file=68100&page=37,http://antiquities.npm.gov.tw/Utensils_Page.aspx?ItemId=52890,,
Jade017,Poppy Blossom Bowl,,Mughal/Chinese 17th-18th century (1770),India,Bowl,杯,,Mughal,SAAM,,33.92,,,1 5/8 x 8 1/2 x 5 5/8 in. (4.13 x 21.59 x 14.29 cm),,"Perm required, free scholarly/non-comm",17,,Asia House 1980,"Check in office: Watt, James C. Y. Chinese Jades from the Collection of the Seattle Art Museum. Seattle, Wash.: Seattle Art Museum, 1989.
","Check in office: Yiu, Josh. A Fuller View of China: Chinese Art in the Seattle Art Museum. Seattle: Seattle Art Museum; University of Washington Press, 2014.
",,,,詠痕都斯坦荷葉杯,,Exterior side of bowl,,"(序)痕都斯坦玉杯一,圓楕作荷葉形,跗有蒂,曲柄環之,旁出艾葉二,達於杯唇,卷其上可執。瑩薄如紙,惟彼中匠能之,內地玉工,謝弗及也。

四疊團荷葉,雙牽長艾枝,製出非華夏,巧實勝般倕,撫處不留手,琢時那構思,旅獒垂法語,三復畧慙斯。 ",,"痕都斯坦玉杯一,圓楕作荷葉形,跗有蒂,曲柄環之,旁出艾葉二,達於杯唇,卷其上可執。瑩薄如紙,惟彼中匠能之,內地玉工,謝弗及也。

四疊團荷葉,雙牽長艾枝,製非出華夏,巧實勝般倕,撫處不留手,琢時那構思,旅獒垂法語,三復畧慙斯。 ",,御製詩,三集,卷86,頁1-2,庚寅,(乾隆二十五年1770年),"此詩加琢於該玉碗(實爲淺碗而非杯)的外壁,該器現藏於美國西雅圖博物館。發表於屈志仁:中國玉器,漢代至清代, 1980,第148號。插圖22。 ""A coiling stem forms the foot of this bowl, one of the finest Mughal jade carvings to enter the Qianlong emperor’s collection. He wrote that it was “thin as paper,” remarking that the jade-carving skills of Chinese artisans could not compare. These comments are carved into the side of the bowl."" (source)",https://ctext.org/library.pl?if=gb&file=68103&page=71,,,
Jade018,,,1770,,dish,盤,,,,,,,,,,,18,,,,,,,,詠痕都斯坦玉盤,,,,"崑嶠產瑤琳,泰蒙每獻琛,薄來雖厚往,不定恧攸箴, 跗鄂承還疊,英華燦且沈,錦囊珍什襲,可復憶雲岑。",,"崑嶠產瑤琳,泰蒙每獻琛,薄來雖厚往,不寳恧攸箴, 跗鄂承還疊,英華燦且沈,錦囊珍什襲,可復憶雲岑。",,御製詩,三集,卷86,頁7,庚寅,(乾隆三十五年1770年) ,,https://ctext.org/library.pl?if=gb&file=68103&page=82,,,
